TSS_score	group	gene
1.07778447393868	CTRL	NT5C2
0.968810373446653	CTRL	NT5C2
0.813201595435458	CTRL	NT5C2
0.986268379391538	CTRL	NT5C2
0.986538424065187	CTRL	NT5C2
1.06328963166242	CTRL	NT5C2
1.07078591309752	CTRL	NT5C2
1.5015356785311	CTRL	NT5C2
1.10899340105974	CTRL	NT5C2
1.06313088628535	CTRL	NT5C2
0.520800867792365	CTRL	NT5C2
1.28662288081447	CTRL	NT5C2
1.57376882048807	CTRL	NT5C2
1.15544493359146	CTRL	NT5C2
0.745033023831572	CTRL	NT5C2
0.749977220236578	CTRL	NT5C2
0.808788791255716	CTRL	NT5C2
1.32605195832542	CTRL	NT5C2
1.00189253433671	CTRL	NT5C2
0.862302368157846	CTRL	NT5C2
1.14495387263652	CTRL	NT5C2
