TSS_coverage	group	gene
1.04648590462772	LPE	CCDC33
0.967285569086508	LPE	CCDC33
0.987931170703578	LPE	CCDC33
1.14991585366482	LPE	CCDC33
1.12097543483445	LPE	CCDC33
1.15156647530335	LPE	CCDC33
1.02072328223072	LPE	CCDC33
1.15840419398324	LPE	CCDC33
1.15695884857047	LPE	CCDC33
1.03200218467575	LPE	CCDC33
1.24307118591714	LPE	CCDC33
0.970167893303728	LPE	CCDC33
0.982346658379194	LPE	CCDC33
1.25640545065863	LPE	CCDC33
1.06156937458936	LPE	CCDC33
1.05218178600474	LPE	CCDC33
1.16427198918917	LPE	CCDC33
1.14292204232335	LPE	CCDC33
0.964164381675342	LPE	CCDC33
0.797322854905966	LPE	CCDC33
1.06470377163659	LPE	CCDC33
1.16728611323068	LPE	CCDC33
1.06446882218516	LPE	CCDC33
1.25182279251082	LPE	CCDC33
1.12867186133566	LPE	CCDC33
1.002144576153	LPE	CCDC33
0.935015741783492	LPE	CCDC33
1.007631036442	LPE	CCDC33
0.9949573451668	LPE	CCDC33
1.02004646202122	LPE	CCDC33
1.05409073006383	LPE	CCDC33
1.12021127863595	LPE	CCDC33
1.30636980718361	LPE	CCDC33
0.948983085200526	LPE	CCDC33
1.1487882439277	LPE	CCDC33
1.01121448932216	LPE	CCDC33
1.14157479317217	LPE	CCDC33
1.05067693111308	LPE	CCDC33
1.11006623092753	LPE	CCDC33
1.0844903640758	LPE	CCDC33
1.09225561247893	LPE	CCDC33
1.04449751807554	LPE	CCDC33
0.930868217727474	LPE	CCDC33
0.979468754669803	LPE	CCDC33
1.18825940777655	LPE	CCDC33
1.05075762310889	LPE	CCDC33
0.946205932085818	LPE	CCDC33
0.821796481685906	LPE	CCDC33
0.981783896167429	LPE	CCDC33
1.00876040481591	LPE	CCDC33
1.09504797341803	LPE	CCDC33
1.00597839304585	LPE	CCDC33
1.05663792038856	CTRL	CCDC33
1.22510784743818	CTRL	CCDC33
0.999589664815204	CTRL	CCDC33
0.800420557544968	CTRL	CCDC33
0.956935331118226	CTRL	CCDC33
0.940179754478548	CTRL	CCDC33
0.961079224873396	CTRL	CCDC33
0.962347995167666	CTRL	CCDC33
1.0488219164493	CTRL	CCDC33
1.09730688480042	CTRL	CCDC33
1.01854536979035	CTRL	CCDC33
0.846392970346347	CTRL	CCDC33
0.88028794353144	CTRL	CCDC33
0.913471122102089	CTRL	CCDC33
0.95140409880069	CTRL	CCDC33
0.976936101294739	CTRL	CCDC33
0.972937793322364	CTRL	CCDC33
0.899128354445669	CTRL	CCDC33
1.01550998121235	CTRL	CCDC33
0.928218987175771	CTRL	CCDC33
1.01722116311109	CTRL	CCDC33
1.02787060806975	CTRL	CCDC33
0.890656880779574	CTRL	CCDC33
1.02776872669052	CTRL	CCDC33
1.0285905984714	CTRL	CCDC33
0.926046643278363	CTRL	CCDC33
0.937986609433928	CTRL	CCDC33
0.916956553180409	CTRL	CCDC33
0.858728116375174	CTRL	CCDC33
0.778155093706927	CTRL	CCDC33
1.08860214676317	CTRL	CCDC33
1.0504779610983	CTRL	CCDC33
0.930530735390782	CTRL	CCDC33
1.02432677437131	CTRL	CCDC33
1.1360289617357	CTRL	CCDC33
